"Y" "X1" "X2" "X3" "X4"
9.2 6.8 225 0.442 0.672
11.7 6.3 180 0.435 0.797
15.8 6.4 190 0.456 0.761
8.6 6.2 180 0.416 0.651
23.2 6.9 205 0.449 0.9
27.4 6.4 225 0.431 0.78
9.3 6.3 185 0.487 0.771
16 6.8 235 0.469 0.75
4.7 6.9 235 0.435 0.818
12.5 6.7 210 0.48 0.825
20.1 6.9 245 0.516 0.632
9.1 6.9 245 0.493 0.757
8.1 6.3 185 0.374 0.709
8.6 6.1 185 0.424 0.782
20.3 6.2 180 0.441 0.775
25 6.8 220 0.503 0.88
19.2 6.5 194 0.503 0.833
3.3 7.6 225 0.425 0.571
11.2 6.3 210 0.371 0.816
10.5 7.1 240 0.504 0.714
10.1 6.8 225 0.4 0.765
7.2 7.3 263 0.482 0.655
13.6 6.4 210 0.475 0.244
9 6.8 235 0.428 0.728
24.6 7.2 230 0.559 0.721
12.6 6.4 190 0.441 0.757
5.6 6.6 220 0.492 0.747
8.7 6.8 210 0.402 0.739
7.7 6.1 180 0.415 0.713
24.1 6.5 235 0.492 0.742
11.7 6.4 185 0.484 0.861
7.7 6 175 0.387 0.721
9.6 6 192 0.436 0.785
7.2 7.3 263 0.482 0.655
12.3 6.1 180 0.34 0.821
8.9 6.7 240 0.516 0.728
13.6 6.4 210 0.475 0.846
11.2 5.8 160 0.412 0.813
2.8 6.9 230 0.411 0.595
3.2 7 245 0.407 0.573
9.4 7.3 228 0.445 0.726
11.9 5.9 155 0.291 0.707
15.4 6.2 200 0.449 0.804
7.4 6.8 235 0.546 0.784
18.9 7 235 0.48 0.744
7.9 5.9 105 0.359 0.839
12.2 6.1 180 0.528 0.79
11 5.7 185 0.352 0.701
2.8 7.1 245 0.414 0.778
11.8 5.8 180 0.425 0.872
17.1 7.4 240 0.599 0.713
11.6 6.8 225 0.482 0.701
5.8 6.8 215 0.457 0.734
8.3 7 230 0.435 0.764
